from,to,conversion_factor
1968,1973,1.0916848035810458
1969,1973,1.0916848035810458
1970,1973,1.0916848035810458
1971,1973,1.0916848035810458
1972,1973,1.0916848035810458
1973,1973,1
1974,1973,1.154043911129286
1975,1973,1.124720336828216
1976,1973,1.0969145386326704
1977,1973,1.1035383186462282
1978,1973,1.0862361818879926
1979,1973,1.101042240936484
1980,1973,1.1373631275845262
1981,1973,1.1284491271429455
1982,1973,1.1037922131698876
1983,1973,1.0937208721296852
1984,1973,1.0903986972855368
1985,1973,1.0867647174527224
1986,1973,1.0649634433157162
1987,1973,1.0697721238464266
1988,1973,1.099683825125001
1989,1973,1.146370358673259
1990,1973,1.2328597005478954
1991,1973,1.1103742379883184
1992,1973,1.1096042804578876
1993,1973,1.2079032999295152
1994,1973,1.2389418272963342
1995,1973,1.0915131196761574
1996,1973,1.0650805277611939
1997,1973,1.0472283034294643
1998,1973,1.043937957390063
1999,1973,1.0341815277985629
2000,1973,1.0368453746401993
2001,1973,1.0379265443088241
2002,1973,1.0295377225964293
2003,1973,1.0310040888613647
2004,1973,1.0317398714758126
2005,1973,1.03634617017485
2006,1973,1.037798037663388
2007,1973,1.0407167690394892
2008,1973,1.0694505280081967
2009,1973,1.0232687670545302
2010,1973,1.0299212821626715
2011,1973,1.0449698305485993
2012,1973,1.0348341045519274
2013,1973,1.027433551887506
2014,1973,1.0228164387639684
2015,1973,1.015080896769836
2016,1973,1.0156897575492994
2017,1973,1.0241149869140294
1962,1974,1.154043911129286
1963,1974,1.154043911129286
1964,1974,1.154043911129286
1965,1974,1.154043911129286
1966,1974,1.154043911129286
1967,1974,1.154043911129286
1968,1974,1.154043911129286
1969,1974,1.154043911129286
1970,1974,1.154043911129286
1971,1974,1.154043911129286
1972,1974,1.154043911129286
1973,1974,1.154043911129286
1974,1974,1
1975,1974,1.124720336828216
1976,1974,1.0969145386326704
1977,1974,1.1035383186462282
1978,1974,1.0862361818879926
1979,1974,1.101042240936484
1980,1974,1.1373631275845262
1981,1974,1.1284491271429455
1982,1974,1.1037922131698876
1983,1974,1.0937208721296852
1984,1974,1.0903986972855368
1985,1974,1.0867647174527224
1986,1974,1.0649634433157162
1987,1974,1.0697721238464266
1988,1974,1.099683825125001
1989,1974,1.146370358673259
1990,1974,1.2328597005478954
1991,1974,1.1103742379883184
1992,1974,1.1096042804578876
1993,1974,1.2079032999295152
1994,1974,1.2389418272963342
1995,1974,1.0915131196761574
1996,1974,1.0650805277611939
1997,1974,1.0472283034294643
1998,1974,1.043937957390063
1999,1974,1.0341815277985629
2000,1974,1.0368453746401993
2001,1974,1.0379265443088241
2002,1974,1.0295377225964293
2003,1974,1.0310040888613647
2004,1974,1.0317398714758126
2005,1974,1.03634617017485
2006,1974,1.037798037663388
