country_iso,year,gdp,gdp_percap
arg,1966,28630474727.9023,1272.80320401009
arg,1967,24256667553.2569,1062.54341227446
arg,1968,26436857247.4982,1141.08043154103
arg,1969,31256284543.6155,1329.058546189
arg,1970,31584210365.5447,1322.59063753874
arg,1971,33293199095.4881,1372.37417356256
arg,1972,34733000536.2862,1408.86537993108
arg,1973,52544000116.9037,2097.02283010295
arg,1974,72436777342.4554,2844.86331235351
arg,1975,52438647921.9226,2027.33720222659
arg,1976,51169499890.7722,1948.22468587272
arg,1977,56781000100.9448,2129.70836077888
arg,1978,58082870156.2634,2146.36495899265
arg,1979,69252328953.3789,2520.92071606516
arg,1980,76961923741.9479,2758.83481652658
arg,1981,78676842366.4213,2776.32208825139
arg,1982,84307486836.724,2927.89735685135
arg,1983,103979106777.911,3553.37750879684
arg,1984,79092001998.032,2659.70824247007
arg,1985,88416668900.2596,2926.12648531698
arg,1986,110934442762.694,3613.62170927636
arg,1987,111106191358.197,3562.87605875248
arg,1988,126206817196.091,3985.19246874962
arg,1989,76636898036.4712,2383.86747065533
arg,1990,141352368714.691,4333.48337168025
arg,1991,189719984268.485,5735.3599805848
arg,1992,228788617201.696,6823.53883710424
arg,1993,236741715015.015,6969.11972904571
arg,1994,257440000000,7483.14033425721
arg,1995,258031750000,7408.70866363112
arg,1996,272149750000,7721.35410460355
arg,1997,292859000000,8213.12512693705
arg,1998,298948250000,8289.5075682025
arg,1999,283523000000,7774.73620280001
arg,2000,284203750000,7708.09911454041
arg,2001,268696750000,7208.37311355372
arg,2002,97724004251.8602,2593.404563368
arg,2003,127586973492.177,3349.80630031036
arg,2004,164657930452.787,4277.72157290954
arg,2005,198737095012.282,5109.85224490403
arg,2006,232557260817.308,5919.01233837714
arg,2007,287530508430.568,7245.44685667197
arg,2008,361558037110.419,9020.87332314274
arg,2009,332976484577.619,8225.13758261645
arg,2010,423627422092.49,10385.9644319555
arg,2011,530163281574.658,12848.8641969705
arg,2012,545982375701.128,13082.664325572
arg,2013,552025140252.246,13080.2547323367
arg,2014,526319673731.638,12334.7982453893
arg,2015,594749285413.212,13789.060424772
arg,2016,557531376217.967,12790.2424732447
arg,2017,643628665302.155,14613.041824658
arg,2018,524819742918.669,11795.1593866287
arg,2019,451932356085.842,10056.637940265
arg,2020,389288056265.325,8579.01777315683
arm,1990,2256838857.60997,637.85592120941
arm,1991,2069870129.87013,590.505875579775
arm,1992,1272835453.42634,369.707232276548
arm,1993,1201312829.27524,357.202848575393
arm,1994,1315158636.67553,400.515593762192
arm,1995,1468317435.20148,456.374933276273
arm,1996,1596968946.23708,504.059842642233
arm,1997,1639492444.76152,523.284410700367
arm,1998,1893726437.26462,609.17165368466
arm,1999,1845482173.02732,597.432898792278
arm,2000,1911563668.85006,622.740922945281
arm,2001,2118467913.37873,694.423455373229
arm,2002,2376335048.39976,783.241214960091
arm,2003,2807061008.69084,930.125472654125
arm,2004,3576615240.41616,1191.92100563238
arm,2005,4900469950.09033,1643.75688889146
arm,2006,6384451606.1421,2158.1480742298
arm,2007,9206301700.39619,3139.28071035448
arm,2008,11662040713.8753,4010.86138084833
arm,2009,8647936747.98704,2994.34047090816
arm,2010,9260284937.79781,3218.37829927419
arm,2011,10142111334.4961,3525.80719813557
arm,2012,10619320048.5857,3681.84469060495
arm,2013,11121465767.4067,3838.17387997786
arm,2014,11609512939.7542,3986.23162376713
arm,2015,10553337672.9872,3607.28929855361
arm,2016,10546135160.031,3591.82805221639
arm,2017,11527458565.7334,3914.52785436696
arm,2018,12457941907.0333,4220.54032079145
arm,2019,13619291361.2814,4604.64632355695
arm,2020,12641209802.112,4266.01807420946
asm,2002,512000000,8666.65538195914
asm,2003,524000000,8807.46281200101
asm,2004,509000000,8528.24877689163
asm,2005,500000000,8395.31877025371
asm,2006,493000000,8340.52343974691
asm,2007,518000000,8874.87792759607
asm,2008,560000000,9740.82449121586
asm,2009,675000000,11910.013233348
asm,2010,573000000,10216.8176306968
asm,2011,570000000,10223.2983588916
asm,2012,640000000,11496.5240977923
asm,2013,638000000,11450.7241954879
asm,2014,643000000,11525.1563872309
asm,2015,673000000,12059.6351646776
asm,2016,671000000,12038.2496994923
asm,2017,612000000,11003.8297642807
asm,2018,639000000,11521.6097798453
asm,2019,648000000,11715.3601388487
asm,2020,709000000,12844.9009909959
atg,1977,77496753.7037037,1246.69015964261
atg,1978,87879341.4814815,1416.54053131116
atg,1979,109079978.888889,1760.83132448003
atg,1980,131431026.666667,2124.61852648141
atg,1981,147841734.444444,2392.68695794469
atg,1982,164369278.888889,2660.55809143556
atg,1983,182144092.962963,2948.31727549755
atg,1984,208372846.296296,3372.60207005529
atg,1985,240923924.814815,3899.39183968301
atg,1986,290440140.740741,4703.17940118439
atg,1987,337174861.851852,5463.59538268844
atg,1988,398637727.777778,6454.83545091774
atg,1989,438794788.518519,7076.53633490604
atg,1990,459470370.37037,7347.64636864328
atg,1991,481707407.407407,7602.34533414465
atg,1992,499281481.481481,7745.72179961652
atg,1993,535174074.074074,8136.18854727449
atg,1994,589429629.62963,8771.14372746878
atg,1995,577281481.481481,8406.35894515205
atg,1996,633729629.62963,9030.5749776224
atg,1997,680618518.518518,9491.66076559497
atg,1998,727859259.259259,9940.85222769034
atg,1999,766200000,10260.5994054155
atg,2000,826370370.37037,10872.2929515751
atg,2001,800481481.481481,10367.3196068161
atg,2002,814381481.481481,10401.0508759034
atg,2003,856396296.296296,10797.9510571837
atg,2004,919729629.62963,11446.9691417182
atg,2005,1022962962.96296,12557.5478500769
atg,2006,1157662962.96296,13995.8044243845
atg,2007,1312759259.25926,15622.6928710238
atg,2008,1370070370.37037,16044.1057963132
atg,2009,1228329629.62963,14160.5620007335
atg,2010,1148700000,13048.9605816199
atg,2011,1137637037.03704,12746.6334682021
atg,2012,1199948148.14815,13272.7349447294
atg,2013,1181448148.14815,12910.5906255945
atg,2014,1249733333.33333,13501.5809223367
atg,2015,1336692592.59259,14285.3297773091
atg,2016,1436585185.18519,15198.7429664112
atg,2017,1467977777.77778,15383.5763979856
atg,2018,1605944444.44444,16679.5916624545
atg,2019,1687533333.33333,17376.6496765004
atg,2020,1370281481.48148,13992.7444804497
aus,1960,18606786874.23,1810.61923013403
aus,1961,19683055213.3498,1877.6166377325
aus,1962,19922723709.262,1854.65683385421
aus,1963,21539926083.548,1967.11653731032
aus,1964,23801097547.3177,2131.37794817925
aus,1965,25977153096.6514,2281.09879668523
aus,1966,27309889125.322,2343.99529013149
aus,1967,30444618658.3044,2580.27109571187
aus,1968,32716989584.4999,2724.37251931884
aus,1969,36686079068.2047,2991.60719792911
aus,1970,41337215813.6409,3305.12639431046
aus,1971,45222309329.1522,3495.57929420671
aus,1972,52051401869.1589,3950.17089391811
aus,1973,63844971172.3254,4771.6719859735
aus,1974,88981577008.1061,6484.11987233886
aus,1975,97333060221.2208,7005.90658757798
aus,1976,105101474851.885,7489.59416032812
aus,1977,110387703601.744,7778.16400801462
aus,1978,118535980148.883,8255.74454303408
aus,1979,134941497216.858,9297.33341717362
aus,1980,150032311977.716,10211.8371887909
aus,1981,176953442470.684,11854.5884953898
aus,1982,194104601125.455,12788.5492901209
aus,1983,177333645297.146,11538.3984187095
aus,1984,193593551892.773,12454.5517172396
aus,1985,180573751629.976,11459.179567837
aus,1986,182368494683.828,11384.9382387646
aus,1987,189400476442.562,11645.4525939389
aus,1988,236065919674.04,14279.1594387946
aus,1989,299767934207.312,17828.0482329023
aus,1990,311326664101.578,18243.4714183672
aus,1991,325902990346.127,18855.7619964202
aus,1992,325480273782.973,18604.1882699613
aus,1993,312126194491.287,17667.1870997502
aus,1994,322807333102.733,18079.3801793746
aus,1995,367915800415.8,20358.3333563413
aus,1996,401089529590.288,21904.2941177592
aus,1997,435323994365.315,23509.4234684514
aus,1998,399404463135.047,21345.9709868552
aus,1999,389098884572.001,20558.9604021981
aus,2000,415576210513.094,21697.7084797731
aus,2001,379083932596.329,19527.3235767954
aus,2002,395342716617.832,20117.7888912664
aus,2003,467390797903.32,23492.4051742272
aus,2004,614166310997.297,30513.9417409748
aus,2005,695075176665.163,34080.9998953245
aus,2006,747556154537.287,36117.487983674
aus,2007,853955405511.502,41001.1429790999
aus,2008,1055127126230.98,49654.9105957389
aus,2009,928042998085.702,42783.3225651148
aus,2010,1147589183475.73,52087.9722888891
aus,2011,1397907916789.9,62574.1457032412
aus,2012,1546508558465.66,68027.8417067378
aus,2013,1576335282651.07,68156.6279162085
aus,2014,1467504819608.92,62511.6905895284
aus,2015,1350534154255.76,56707.0220772116
aus,2016,1206685107002.47,49881.7637140466
aus,2017,1326882872011.46,53934.2501750463
aus,2018,1428529571351.06,57180.7794001614
aus,2019,1391952510370.48,54875.2859563351
aus,2020,1327836171068.51,51680.3165229438
aut,1960,6592693841.18495,935.460426850415
aut,1961,7311749633.36229,1031.8150043291
aut,1962,7756110210.11966,1087.8342434189
aut,1963,8374175257.73075,1167.00053244585
aut,1964,9169983885.71185,1269.41258289256
aut,1965,9994070615.85997,1374.53213986075
aut,1966,10887682273.1014,1486.96860600566
aut,1967,11579431668.9165,1569.66718289967
aut,1968,12440625312.8685,1677.67352804272
aut,1969,13582798556.2404,1825.38612552124
aut,1970,15373005557.0257,2058.76905087549
aut,1971,17858486066.7474,2380.97845801742
aut,1972,22059612476.9332,2924.04887899105
aut,1973,29515467706.796,3890.72241941969
aut,1974,35189299911.6608,4630.75719737956
aut,1975,40059206763.056,5285.62072414121
aut,1976,42959976221.5234,5678.38665810018
aut,1977,51545758887.6863,6810.62768469634
aut,1978,62052259073.2493,8205.4689771504
aut,1979,73937296963.4586,9793.76534815017
aut,1980,82058912997.2346,10869.5464940526
aut,1981,71034228443.062,9385.24906398343
aut,1982,71275287569.5733,9410.34725652989
aut,1983,72121016546.6524,9537.40742043378
aut,1984,67985344886.8716,8991.06503963026
aut,1985,69386774408.0872,9172.09676001833
aut,1986,99036164939.1618,13083.0726621044
aut,1987,124168442533.74,16392.7695234749
aut,1988,133339397080.129,17578.6189397397
aut,1989,133105805512.22,17468.9461372569
aut,1990,166463386179.354,21680.989623313
aut,1991,173794177961.108,22410.9117666654
aut,1992,195078126721.763,24880.1641180361
aut,1993,190379720809.18,24081.5277928004
aut,1994,203535242741.838,25646.7006591684
aut,1995,241038283062.645,30325.8495818396
aut,1996,237250948791.266,29809.0767730821
aut,1997,212790348404.555,26705.4785993891
aut,1998,218259904401.956,27361.8751106437
aut,1999,217259147049.954,27183.4759263956
aut,2000,197289625479.906,24625.6007227434
aut,2001,197508773215.323,24558.7636778868
aut,2002,214394866675.24,26527.5930910347
aut,2003,262273631180.054,32294.0488606559
aut,2004,301457562038.541,36889.2335135194
aut,2005,316092273276.015,38417.4577857677
aut,2006,336280064332.411,40669.3269586152
aut,2007,389185571506.052,46915.3374004507
aut,2008,432051935642.945,51919.9835754226
aut,2009,401758735822.211,48153.324019963104
aut,2010,392275107258.667,46903.7615854343
aut,2011,431685217367.511,51442.2762464407
aut,2012,409401816050.531,48564.9173350875
aut,2013,430190979705.962,50731.1272541847
aut,2014,442584815286.034,51786.3771747905
aut,2015,381971148530.543,44195.8175947748
aut,2016,395837353031.499,45307.5878620429
aut,2017,417261151844.977,47429.1584564387
aut,2018,455168151938.941,51486.5755014824
aut,2019,445011872704.47,50114.4011099728
aut,2020,433258467676.515,48588.6593847921
aze,1992,446305555.555556,60.4582135796365
aze,1993,1570000000,209.478571809788
aze,1994,1193312101.91083,157.086059054548
aze,1995,2417355840.03625,314.561226313624
aze,1996,3176333837.03359,409.163189106479
aze,1997,3962238113.16021,505.500349333104
aze,1998,4446368570.6901,561.906807871869
aze,1999,4581432038.83495,573.916512334089
aze,2000,5272798390.70183,655.119945170816
aze,2001,5707720390.8515,703.683843432722
aze,2002,6235856819.58445,763.080637985358
aze,2003,7276753894.71541,883.733971498452
aze,2004,8680370408.05943,1045.00937916805
aze,2005,13245716099.0057,1578.40239029603
aze,2006,20982986344.3027,2473.08181863536
aze,2007,33050343782.7759,3851.43786871172
aze,2008,48852482960.0779,5574.60380218613
aze,2009,44291490420.5026,4950.29479142375
aze,2010,52909294791.9262,5843.5337683582
aze,2011,65951627200.2026,7189.69122920765
aze,2012,69683935845.2139,7496.29464768263
aze,2013,74164435946.4627,7875.75695254288
aze,2014,75244294275.1498,7891.31314749986
aze,2015,53074370486.0433,5500.31038244408
aze,2016,37867518957.1975,3880.73873089556
aze,2017,40865558912.3867,4147.08971569171
aze,2018,47112941176.4706,4739.84171028393
aze,2019,48174235294.1176,4805.75371765917
aze,2020,42607176470.5882,4221.40747847848
bdi,1960,195999990,70.0519098975133
bdi,1961,202999992,71.1671882088235
bdi,1962,213500006,73.4353308201368
bdi,1963,232749998,78.5146207549818
bdi,1964,260750008,86.1615495133979
bdi,1965,158994962.962963,51.3818812578693
bdi,1966,165444571.428571,52.1825516980849
bdi,1967,178297142.857143,54.8064431207722
bdi,1968,183200000,54.9007620777181
bdi,1969,190205714.285714,55.7149339029583
bdi,1970,242732571.428571,69.7693841827188
bdi,1971,252842285.714286,71.6267098340753
bdi,1972,246804571.428571,69.139614732676307
bdi,1973,304339839.552146,84.4187820522328
bdi,1974,345263492.063492,94.6853995371613
bdi,1975,420986666.666667,113.753156119578
bdi,1976,448412753.623188,118.914933058734
bdi,1977,547535555.555556,142.05298389329
bdi,1978,610225555.555556,154.516273299419
bdi,1979,782496666.666667,193.149963916389
bdi,1980,919726666.666667,221.231941787803
bdi,1981,969046666.666667,227.128120029126
bdi,1982,1013222222.22222,231.343693847179
bdi,1983,1082926304.46477,240.781703183952
bdi,1984,987143931.166987,213.616841365552
bdi,1985,1149979285.77347,242.058503810168
bdi,1986,1201725497.06578,245.915327496274
bdi,1987,1131466494.01101,225.071475788735
bdi,1988,1082403219.48787,209.414860843789
bdi,1989,1113924130.41149,209.894412605431
bdi,1990,1132101252.51817,208.146678899064
bdi,1991,1167398478.3459,209.778011006784
bdi,1992,1083037670.60484,190.488879935296
bdi,1993,938632612.026359,161.887525025872
bdi,1994,925030590.153683,156.812380979725
bdi,1995,1000428393.88528,167.098887846036
bdi,1996,869033856.317093,143.402323772521
bdi,1997,972896267.915425,158.914669880487
bdi,1998,893770806.077641,144.493017302487
bdi,1999,808077223.365746,128.938918689721
bdi,2000,870486065.883137,136.46397080034
bdi,2001,876794723.068586,134.363426917623
bdi,2002,825394490.159111,123.117536141087
bdi,2003,784654423.620476,113.567251308875
bdi,2004,915257323.3961,128.336702810905
bdi,2005,1117113045.65222,151.681566343002
bdi,2006,1273375020.26862,167.376462504995
bdi,2007,1356199364.85882,172.495596648941
bdi,2008,1611835901.9063,198.352851736367
bdi,2009,1781455092.07114,212.137057219997
bdi,2010,2032135246.50004,234.235538877634
bdi,2011,2235820867.82743,249.577979366801
bdi,2012,2333308099.46249,252.358870682831
bdi,2013,2451625332.74584,256.975652630896
bdi,2014,2705783272.07443,274.857836231788
bdi,2015,3104394858.11518,305.549652502657
bdi,2016,2732808556.84172,260.56522079627
bdi,2017,2748180473.71333,253.826354063895
bdi,2018,2668495742.88443,238.783467020173
bdi,2019,2631434363.22693,228.213589244227
bdi,2020,2841786382.19063,238.990725856496
bel,1960,11658722590.99,1273.69165910289
bel,1961,12400145221.595,1350.19767333123
bel,1962,13264015675.3193,1438.5232330684
bel,1963,14260017387.0492,1535.02372901043
bel,1964,15960106680.6732,1701.84627554319
bel,1965,17371457607.9374,1835.59476553194
bel,1966,18651883472.4808,1957.62608042762
bel,1967,19992040788.4593,2086.63600544654
bel,1968,21376353113.475,2222.36151051913
bel,1969,23710735894.7022,2458.08182003773
bel,1970,26706196046.7931,2765.89099664794
bel,1971,29821661869.912,3082.92798879126
bel,1972,37209418018.5134,3831.63189999433
bel,1973,47743801490.3747,4900.96220075866
bel,1974,56033077879.0389,5733.79813933878
bel,1975,65678189097.2908,6701.37736052433
bel,1976,71113882967.6071,7243.04734119583
bel,1977,82839905458.6382,8426.94695947372
bel,1978,101246526194.441,10289.7684173296
bel,1979,116315456796.918,11810.6158754725
bel,1980,126829314388.191,12864.0025661396
bel,1981,104730018470.23,10622.8024830789
bel,1982,92095926187.5331,9343.86109959618
bel,1983,87184239053.2544,8846.23429846974
bel,1984,83349530159.1734,8457.26880316374
bel,1985,86268264148.3796,8750.81851250536
bel,1986,120018787249.413,12170.0406962702
bel,1987,149394404105.889,15135.8523116968
bel,1988,162299103675.261,16391.093827791
bel,1989,164221056511.057,16525.0617432848
bel,1990,205331747947.851,20600.3752789827
bel,1991,210510999409.333,21041.6606519648
bel,1992,234781652446.675,23372.619171015
bel,1993,224721795708.955,22283.9360213551
bel,1994,244884129491.198,24208.5547931447
bel,1995,288025588396.278,28413.8264387368
bel,1996,279201433224.756,27489.5551770488
bel,1997,252708051420.839,24820.9380503896
bel,1998,258528339631.029,25338.4432934904
bel,1999,258245733221.468,25252.8019066564
bel,2000,236792460312.471,23098.8865077401
bel,2001,236746141604.37,23015.0712632462
bel,2002,258383599375.177,25006.191397109
bel,2003,318082528506.588,30655.2092679024
