country_iso,from,to,gdp_deflator
arg,2019,2020,1.398912174304965
arm,1990,1991,1.7938610429820518
arm,1991,1992,6.68807295439343
arm,1992,1993,14.911665431516798
arm,1993,1994,42.072967699474304
arm,1994,1995,2.61163917579159
arm,1995,1996,1.195917703052133
arm,1996,1997,1.177359944945837
arm,1997,1998,1.106984977562983
arm,1998,1999,1.0005380408093254
arm,1999,2000,0.9862632400171853
arm,2000,2001,1.0402796948177824
arm,2001,2002,1.023573990191114
arm,2002,2003,1.045985157283794
arm,2003,2004,1.0627859410767146
arm,2004,2005,1.032087566663528
arm,2005,2006,1.0461801250818827
arm,2006,2007,1.042778755387818
arm,2007,2008,1.0598956236068735
arm,2008,2009,1.0249725307891564
arm,2009,2010,1.0776871548067652
arm,2010,2011,1.0428154999826118
arm,2011,2012,1.0534580441814725
arm,2012,2013,1.0336682464224465
arm,2013,2014,1.0230918242990974
arm,2014,2015,1.0121390990471084
arm,2015,2016,1.002685750765014
arm,2016,2017,1.0215064189848613
arm,2017,2018,1.0278770951425762
arm,2018,2019,1.010656226392342
arm,2019,2020,1.0202254113416835
asm,2002,2003,1.0136505293715847
asm,2003,2004,0.9674092537778469
asm,2004,2005,0.9863441656736126
asm,2005,2006,1.0281367521367522
asm,2006,2007,1.0316061220726536
asm,2007,2008,1.110593351972663
asm,2008,2009,1.25776397515528
asm,2009,2010,0.846351104467696
asm,2010,2011,0.9947643979057591
asm,2011,2012,1.173684210526316
asm,2012,2013,1.0224358974358974
asm,2013,2014,0.9903783970577348
asm,2014,2015,1.014697327650683
asm,2015,2016,1.0140582171236607
asm,2016,2017,0.9805910994230325
asm,2017,2018,1.0169536107125778
asm,2018,2019,1.0190555095277547
asm,2019,2020,1.0528476589797344
atg,1977,1978,1.0863528208599602
atg,1978,1979,1.1484548829535939
atg,1979,1980,1.113987792060248
atg,1980,1981,1.0835261346856633
atg,1981,1982,1.112726970971492
atg,1982,1983,1.0517248241319943
atg,1983,1984,1.0384423976878807
atg,1984,1985,1.0741125986556002
atg,1985,1986,1.0812494016857712
atg,1986,1987,1.0887644453181307
atg,1987,1988,1.123705948660197
atg,1988,1989,1.0458070660707766
atg,1989,1990,1.0165047989604072
atg,1990,1991,1.026064017917522
atg,1991,1992,1.0246129937687503
atg,1992,1993,1.0181323390168684
atg,1993,1994,1.0324458799836334
atg,1994,1995,1.024033635247166
atg,1995,1996,1.0297718441282138
atg,1996,1997,1.0182728850885523
atg,1997,1998,1.0210990701951315
atg,1998,1999,1.0150421516578423
atg,1999,2000,1.0155330015893553
atg,2000,2001,1.0148258832821888
atg,2001,2002,1.00701802329949
atg,2002,2003,0.9913511855389313
atg,2003,2004,1.015395171252324
atg,2004,2005,1.044616425727649
atg,2005,2006,1.0040767559739319
atg,2006,2007,1.0373413016629303
atg,2007,2008,1.0438066735456772
atg,2008,2009,1.0183693630723725
atg,2009,2010,1.0147335735006744
atg,2010,2011,1.010154151938415
atg,2011,2012,1.0203571198150139
atg,2012,2013,0.9905345554977749
atg,2013,2014,1.019115038000363
atg,2014,2015,1.0301750370241558
atg,2015,2016,1.0187367154721152
atg,2016,2017,0.9907013782160216
atg,2017,2018,1.0235281632522406
atg,2018,2019,1.0020807698539778
atg,2019,2020,1.0174498628223898
aus,1960,1961,1.0322102114929836
aus,1961,1962,0.9992415227244877
aus,1962,1963,1.0179111033796893
aus,1963,1964,1.0328948394298452
aus,1964,1965,1.0298334571233976
aus,1965,1966,1.0268450589657454
aus,1966,1967,1.0486786455229786
aus,1967,1968,1.0225400243478602
aus,1968,1969,1.0475326175758126
aus,1969,1970,1.051340186338694
aus,1970,1971,1.0519129023237208
aus,1971,1972,1.061933297908187
aus,1972,1973,1.0898451906572721
aus,1973,1974,1.163795953350643
aus,1974,1975,1.165030298694744
aus,1975,1976,1.1402135728235079
aus,1976,1977,1.114195667999376
aus,1977,1978,1.0823670688322833
aus,1978,1979,1.0863079593723468
aus,1979,1980,1.100161833028378
aus,1980,1981,1.0952941275340409
aus,1981,1982,1.117115030089482
aus,1982,1983,1.101581344366299
aus,1983,1984,1.078594498475048
aus,1984,1985,1.0463158958897274
aus,1985,1986,1.0645582415761285
aus,1986,1987,1.070561823886453
aus,1987,1988,1.071985760318209
aus,1988,1989,1.092460091371945
aus,1989,1990,1.0610235276739393
aus,1990,1991,1.0304300121343986
aus,1991,1992,1.0150397648699279
aus,1992,1993,1.0089146476974291
aus,1993,1994,1.0102143747219925
aus,1994,1995,1.0227068929436829
aus,1995,1996,1.0272595883584288
aus,1996,1997,1.0126714182084389
aus,1997,1998,1.0118903024202561
aus,1998,1999,1.0048757564914137
aus,1999,2000,1.02558021880686
aus,2000,2001,1.0461710000900302
aus,2001,2002,1.0283581953103764
aus,2002,2003,1.030073981807391
aus,2003,2004,1.0324491143426422
aus,2004,2005,1.0380695099443185
aus,2005,2006,1.0512048467467758
aus,2006,2007,1.049824303154294
aus,2007,2008,1.046145835235411
aus,2008,2009,1.049883384540998
aus,2009,2010,1.0116538343870303
aus,2010,2011,1.0620678072165644
aus,2011,2012,1.0178912996440672
aus,2012,2013,0.9984740845997402
aus,2013,2014,1.0144182452992179
aus,2014,2015,0.9938345760018278
aus,2015,2016,0.9940244137524578
aus,2016,2017,1.0374509003702452
aus,2017,2018,1.0183015529797455
aus,2018,2019,1.0341878591584748
aus,2019,2020,1.0178365535795395
aut,1960,1961,1.0508715371682005
aut,1961,1962,1.0334020321438653
aut,1962,1963,1.0367826612051867
aut,1963,1964,1.0318378821910492
aut,1964,1965,1.0532141544871367
aut,1965,1966,1.0312236608115566
aut,1966,1967,1.0324776256800847
aut,1967,1968,1.0283803195138832
aut,1968,1969,1.0273357287683755
aut,1969,1970,1.0645138988966751
aut,1970,1971,1.0620437457520968
aut,1971,1972,1.0759993159536005
aut,1972,1973,1.0804554191115825
aut,1973,1974,1.0950213951366192
aut,1974,1975,1.064577758921126
aut,1975,1976,1.0562491943497632
aut,1976,1977,1.0519871214776761
aut,1977,1978,1.0599301661592722
aut,1978,1979,1.0411437117122129
aut,1979,1980,1.0558062916847484
aut,1980,1981,1.067166676623234
aut,1981,1982,1.0535528941725865
aut,1982,1983,1.03472783369453
aut,1983,1984,1.0494977340821654
aut,1984,1985,1.029629958042603
aut,1985,1986,1.029509970153775
aut,1986,1987,1.024369481876172
aut,1987,1988,1.0152685544235396
aut,1988,1989,1.0296476055578965
aut,1989,1990,1.0299968060930622
aut,1990,1991,1.0364187153111726
aut,1991,1992,1.0347909329454419
aut,1992,1993,1.0275708463928996
aut,1993,1994,1.0252494261860796
aut,1994,1995,1.0181391819271643
aut,1995,1996,1.0098620550242938
aut,1996,1997,1.0126699553666487
aut,1997,1998,1.0044190522715184
aut,1998,1999,1.0025634969447568
aut,1999,2000,1.0136404091396396
aut,2000,2001,1.0194710539424339
aut,2001,2002,1.011455956666632
aut,2002,2003,1.0130755257860011
aut,2003,2004,1.0173971884960344
aut,2004,2005,1.0253779415754438
aut,2005,2006,1.0189216106882701
aut,2006,2007,1.0222117586707646
aut,2007,2008,1.0195632228093217
aut,2008,2009,1.0188926417785875
aut,2009,2010,1.0087305496217793
aut,2010,2011,1.0183341024455663
aut,2011,2012,1.0205423568508494
aut,2012,2013,1.0162388806972809
aut,2013,2014,1.0217570723682325
aut,2014,2015,1.0230097866680523
aut,2015,2016,1.0184829469843848
aut,2016,2017,1.010055341594591
aut,2017,2018,1.0180193050754474
aut,2018,2019,1.0162258940533844
aut,2019,2020,1.0231234459193537
aze,1990,1991,1.835495126813253
aze,1991,1992,11.6532922595742
aze,1992,1993,8.471245266339992
aze,1993,1994,14.860673881026601
aze,1994,1995,6.45656356836015
aze,1995,1996,1.264191628628823
aze,1996,1997,1.092425045810372
aze,1997,1998,0.9903486523386641
aze,1998,1999,1.021621433045255
aze,1999,2000,1.1249277344827
aze,2000,2001,1.0251500997873335
aze,2001,2002,1.0421438616378031
aze,2002,2003,1.069614651158669
aze,2003,2004,1.092519655783619
aze,2004,2005,1.147234965538356
aze,2005,2006,1.113012191438311
aze,2006,2007,1.210293286105984
aze,2007,2008,1.277774594260758
aze,2008,2009,0.8115504291234
aze,2009,2010,1.135458167330678
aze,2010,2011,1.225243613092431
aze,2011,2012,1.0288293299905826
aze,2012,2013,1.0044506441176575
aze,2013,2014,0.9871500427384035
aze,2014,2015,0.9115030749400346
aze,2015,2016,1.146714003926806
aze,2016,2017,1.161724002396697
aze,2017,2018,1.121848769569654
aze,2018,2019,0.9975869213818753
aze,2019,2020,0.9241787697425694
bdi,1960,1961,1.200774363441753
bdi,1961,1962,0.9643258354628306
bdi,1962,1963,1.0468714930236156
bdi,1963,1964,1.0541721757309175
bdi,1964,1965,0.9897063622219187
bdi,1965,1966,1.0315203396139834
bdi,1966,1967,0.9468201382811792
